"","year","count","pct_whole","rank_new"
"1",1903,482,4.31,1
"2",1897,372,3.32,2
"3",1906,364,3.25,3
"4",1909,355,3.17,4
"5",1901,331,2.96,5
"6",1919,329,2.94,6
"7",1899,316,2.82,7
"8",1893,296,2.64,8
"9",1907,288,2.57,9
"10",1908,282,2.52,10
"11",1920,278,2.48,11
"12",1910,275,2.46,12
"13",1894,260,2.32,13
"14",1902,260,2.32,13
"15",1911,259,2.31,14
"16",1891,253,2.26,15
"17",1898,242,2.16,16
"18",1892,240,2.14,17
"19",1895,240,2.14,17
"20",1900,229,2.05,18
"21",1904,225,2.01,19
"22",1912,202,1.8,20
"23",1896,182,1.63,21
"24",1915,182,1.63,21
"25",1916,159,1.42,22
"26",1918,158,1.41,23
"27",1905,154,1.38,24
"28",1921,154,1.38,24
"29",1913,147,1.31,25
"30",1930,140,1.25,26
"31",1889,139,1.24,27
"32",1883,136,1.21,28
"33",1888,133,1.19,29
"34",1884,132,1.18,30
"35",1922,120,1.07,31
"36",1882,114,1.02,32
"37",1887,112,1,33
"38",1886,91,0.81,34
"39",1917,91,0.81,34
"40",1851,87,0.78,35
"41",1914,87,0.78,35
"42",1933,86,0.77,36
"43",1934,84,0.75,37
"44",1946,83,0.74,38
"45",1855,78,0.7,39
"46",1890,72,0.64,40
"47",1880,71,0.63,41
"48",1881,71,0.63,41
"49",1885,68,0.61,42
"50",1857,65,0.58,43
"51",1931,63,0.56,44
"52",1926,60,0.54,45
"53",1871,57,0.51,46
"54",1859,56,0.5,47
"55",1856,54,0.48,48
"56",1874,51,0.46,49
"57",1932,49,0.44,50
"58",1873,48,0.43,51
"59",1923,47,0.42,52
"60",1854,44,0.39,53
"61",1860,44,0.39,53
"62",1872,44,0.39,53
"63",1935,43,0.38,54
"64",1942,43,0.38,54
"65",1947,43,0.38,54
"66",1858,40,0.36,55
"67",1853,35,0.31,56
"68",1937,34,0.3,57
"69",1878,33,0.29,58
"70",1949,32,0.29,58
"71",1936,29,0.26,59
"72",1849,28,0.25,60
"73",1852,28,0.25,60
"74",1868,28,0.25,60
"75",1879,28,0.25,60
"76",1927,28,0.25,60
"77",1875,24,0.21,61
"78",1876,23,0.21,61
"79",1938,23,0.21,61
"80",1959,23,0.21,61
"81",1924,21,0.19,62
"82",1863,19,0.17,63
"83",1877,19,0.17,63
"84",1928,19,0.17,63
"85",1940,19,0.17,63
"86",1948,19,0.17,63
"87",1848,17,0.15,64
"88",1861,17,0.15,64
"89",1850,16,0.14,65
"90",1943,16,0.14,65
"91",1841,14,0.13,66
"92",1846,14,0.13,66
"93",1870,14,0.13,66
"94",1929,15,0.13,66
"95",1865,13,0.12,67
"96",1925,13,0.12,67
"97",1960,13,0.12,67
"98",1944,12,0.11,68
"99",1941,11,0.1,69
"100",1835,10,0.09,70
"101",1939,10,0.09,70
"102",1842,9,0.08,71
"103",1845,9,0.08,71
"104",1955,8,0.07,72
"105",1862,7,0.06,73
"106",1945,7,0.06,73
"107",1844,6,0.05,74
"108",1847,6,0.05,74
"109",1867,6,0.05,74
"110",1839,4,0.04,75
"111",1843,5,0.04,75
"112",1864,4,0.04,75
"113",1866,4,0.04,75
"114",1869,5,0.04,75
"115",1951,5,0.04,75
"116",1957,5,0.04,75
"117",1961,5,0.04,75
"118",1805,3,0.03,76
"119",1836,3,0.03,76
"120",1950,3,0.03,76
"121",1956,3,0.03,76
"122",1837,2,0.02,77
"123",1952,2,0.02,77
"124",1838,1,0.01,78
"125",1953,1,0.01,78
"126",1954,1,0.01,78
"127",1958,1,0.01,78
"128",1962,1,0.01,78
"129",1963,1,0.01,78
