"","year","count","pct_whole","rank_new"
"1",1903,482,4.29,1
"2",1897,372,3.31,2
"3",1906,364,3.24,3
"4",1909,355,3.16,4
"5",1901,331,2.95,5
"6",1919,329,2.93,6
"7",1899,316,2.82,7
"8",1893,296,2.64,8
"9",1907,288,2.57,9
"10",1908,282,2.51,10
"11",1920,278,2.48,11
"12",1910,275,2.45,12
"13",1894,260,2.32,13
"14",1902,260,2.32,13
"15",1911,259,2.31,14
"16",1891,253,2.25,15
"17",1898,242,2.16,16
"18",1892,240,2.14,17
"19",1895,240,2.14,17
"20",1900,229,2.04,18
"21",1904,225,2,19
"22",1912,202,1.8,20
"23",1896,182,1.62,21
"24",1915,182,1.62,21
"25",1916,159,1.42,22
"26",1918,158,1.41,23
"27",1905,154,1.37,24
"28",1921,154,1.37,24
"29",1913,147,1.31,25
"30",1930,140,1.25,26
"31",1889,139,1.24,27
"32",1883,136,1.21,28
"33",1888,133,1.19,29
"34",1884,132,1.18,30
"35",1922,120,1.07,31
"36",1882,114,1.02,32
"37",1887,112,1,33
"38",1886,91,0.81,34
"39",1917,91,0.81,34
"40",1851,87,0.78,35
"41",1914,87,0.78,35
"42",1933,86,0.77,36
"43",1934,84,0.75,37
"44",1946,83,0.74,38
"45",1855,78,0.7,39
"46",1890,72,0.64,40
"47",1880,71,0.63,41
"48",1881,71,0.63,41
"49",1885,68,0.61,42
"50",1857,65,0.58,43
"51",1931,63,0.56,44
"52",1926,60,0.53,45
"53",1871,57,0.51,46
"54",1859,56,0.5,47
"55",1856,54,0.48,48
"56",1874,51,0.45,49
"57",1932,49,0.44,50
"58",1873,48,0.43,51
"59",1923,47,0.42,52
"60",1854,44,0.39,53
"61",1860,44,0.39,53
"62",1872,44,0.39,53
"63",1935,43,0.38,54
"64",1942,43,0.38,54
"65",1947,43,0.38,54
"66",1858,40,0.36,55
"67",1853,35,0.31,56
"68",1937,34,0.3,57
"69",1878,33,0.29,58
"70",1949,32,0.29,58
"71",1936,29,0.26,59
"72",1849,28,0.25,60
"73",1852,28,0.25,60
"74",1868,28,0.25,60
"75",1879,28,0.25,60
"76",1927,28,0.25,60
"77",1875,24,0.21,61
"78",1876,23,0.2,62
"79",1938,23,0.2,62
"80",1959,23,0.2,62
"81",1924,21,0.19,63
"82",1863,19,0.17,64
"83",1877,19,0.17,64
"84",1928,19,0.17,64
"85",1940,19,0.17,64
"86",1948,19,0.17,64
"87",1848,17,0.15,65
"88",1861,17,0.15,65
"89",1850,16,0.14,66
"90",1943,16,0.14,66
"91",1929,15,0.13,67
"92",1841,14,0.12,68
"93",1846,14,0.12,68
"94",1865,13,0.12,68
"95",1870,14,0.12,68
"96",1925,13,0.12,68
"97",1960,13,0.12,68
"98",1944,12,0.11,69
"99",1941,11,0.1,70
"100",1835,10,0.09,71
"101",1939,10,0.09,71
"102",1842,9,0.08,72
"103",1845,9,0.08,72
"104",1955,8,0.07,73
"105",1862,7,0.06,74
"106",1945,7,0.06,74
"107",1844,6,0.05,75
"108",1847,6,0.05,75
"109",1867,6,0.05,75
"110",1839,4,0.04,76
"111",1843,5,0.04,76
"112",1864,4,0.04,76
"113",1866,4,0.04,76
"114",1869,5,0.04,76
"115",1951,5,0.04,76
"116",1957,5,0.04,76
"117",1961,5,0.04,76
"118",1968,4,0.04,76
"119",1805,3,0.03,77
"120",1836,3,0.03,77
"121",1950,3,0.03,77
"122",1956,3,0.03,77
"123",1965,3,0.03,77
"124",1966,3,0.03,77
"125",1977,3,0.03,77
"126",1837,2,0.02,78
"127",1952,2,0.02,78
"128",1964,2,0.02,78
"129",1987,2,0.02,78
"130",1988,2,0.02,78
"131",1999,2,0.02,78
"132",1838,1,0.01,79
"133",1953,1,0.01,79
"134",1954,1,0.01,79
"135",1958,1,0.01,79
"136",1962,1,0.01,79
"137",1963,1,0.01,79
"138",1969,1,0.01,79
"139",1972,1,0.01,79
"140",1982,1,0.01,79
"141",1989,1,0.01,79
"142",1991,1,0.01,79
"143",1994,1,0.01,79
"144",1998,1,0.01,79
"145",2002,1,0.01,79
