newspaper_region,hostile,orderly,neutral,justice,identified,total,percent_hostile,percent_orderly,percent_neutral,percent_justice,percent_identified
Midwest,467,84,520,164,35,1210,38.6,6.94,42.98,13.55,2.89
Northeast,100,28,84,26,11,240,41.67,11.67,35,10.83,4.58
South,466,54,376,144,38,1076,43.31,5.02,34.94,13.38,3.53
West,289,27,194,80,42,588,49.15,4.59,32.99,13.61,7.14
