"","newspaper","location","date1","year","full_text","date_original"
"42","The Cleveland gazette.","Cleveland, Ohio","February 06"," 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), February 06, 1892, Page 2, Image 2","February 06, 1892"
"43","The Cleveland gazette.","Cleveland, Ohio","July 09"," 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), July 09, 1892, Image 1","July 09, 1892"
"44","The Anaconda standard.","Anaconda, Mont.","November 09"," 1892","The Anaconda standard. [volume] (Anaconda, Mont.), November 09, 1892, Page 2, Image 2","November 09, 1892"
"45","The Cleveland gazette.","Cleveland, Ohio","May 28"," 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), May 28, 1892, Page 2, Image 2","May 28, 1892"
"46","The Helena independent.","Helena, Mont.","August 21"," 1892","The Helena independent. [volume] (Helena, Mont.), August 21, 1892, Morning, Page 10, Image 10","August 21, 1892"
"47","The freeman.","Indianapolis [Ind.]","May 07"," 1892","The freeman. [volume] (Indianapolis [Ind.]), May 07, 1892, Image 3","May 07, 1892"
"48","The Washington bee.","Washington, D.C.","June 11"," 1892","The Washington bee. [volume] (Washington, D.C.), June 11, 1892, Image 2","June 11, 1892"
"49","The Appeal.","Saint Paul, Minn. ;","August 27"," 1892","The Appeal. [volume] (Saint Paul, Minn. ;), August 27, 1892, Image 1","August 27, 1892"
"50","The New York age.","New York [N.Y.]","November 19"," 1892","The New York age. [volume] (New York [N.Y.]), November 19, 1892, Image 2","November 19, 1892"
"51","The Appeal.","Saint Paul, Minn. ;","August 20"," 1892","The Appeal. [volume] (Saint Paul, Minn. ;), August 20, 1892, Page 2, Image 2","August 20, 1892"
"52","The freeman.","Indianapolis [Ind.]","November 25"," 1893","The freeman. [volume] (Indianapolis [Ind.]), November 25, 1893, Image 5","November 25, 1893"
"53","Afro-American advocate.","Coffeyville, Kan.","April 28"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), April 28, 1893, Image 4","April 28, 1893"
"54","Afro-American advocate.","Coffeyville, Kan.","May 05"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 05, 1893, Image 4","May 05, 1893"
"55","Afro-American advocate.","Coffeyville, Kan.","August 11"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), August 11, 1893, Image 4","August 11, 1893"
"56","The freeman.","Indianapolis [Ind.]","February 25"," 1893","The freeman. [volume] (Indianapolis [Ind.]), February 25, 1893, Image 5","February 25, 1893"
"57","Afro-American advocate.","Coffeyville, Kan.","May 26"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 26, 1893, Image 8","May 26, 1893"
"58","Afro-American advocate.","Coffeyville, Kan.","May 12"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 12, 1893, Image 4","May 12, 1893"
"59","Afro-American advocate.","Coffeyville, Kan.","August 18"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), August 18, 1893, Image 4","August 18, 1893"
"60","The freeman.","Indianapolis [Ind.]","July 08"," 1893","The freeman. [volume] (Indianapolis [Ind.]), July 08, 1893, Image 5","July 08, 1893"
"61","The Atchison blade.","Atchison, Kan.","October 07"," 1893","The Atchison blade. [volume] (Atchison, Kan.), October 07, 1893, Image 2","October 07, 1893"
"62","The gazette.","Cleveland, Ohio","February 25"," 1893","The gazette. [volume] (Cleveland, Ohio), February 25, 1893, Page 2, Image 2","February 25, 1893"
"63","The freeman.","Indianapolis [Ind.]","March 04"," 1893","The freeman. [volume] (Indianapolis [Ind.]), March 04, 1893, Image 4","March 04, 1893"
"64","The plaindealer.","Detroit, Mich.","February 24"," 1893","The plaindealer. [volume] (Detroit, Mich.), February 24, 1893, Image 4","February 24, 1893"
"65","The Atchison blade.","Atchison, Kan.","March 25"," 1893","The Atchison blade. [volume] (Atchison, Kan.), March 25, 1893, Image 1","March 25, 1893"
"66","Afro-American advocate.","Coffeyville, Kan.","April 21"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), April 21, 1893, Image 4","April 21, 1893"
"67","The freeman.","Indianapolis [Ind.]","July 29"," 1893","The freeman. [volume] (Indianapolis [Ind.]), July 29, 1893, Image 1","July 29, 1893"
"68","Afro-American advocate.","Coffeyville, Kan.","August 25"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), August 25, 1893, Image 4","August 25, 1893"
"69","Afro-American advocate.","Coffeyville, Kan.","September 01"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), September 01, 1893, Image 4","September 01, 1893"
"70","The freeman.","Indianapolis [Ind.]","November 25"," 1893","The freeman. [volume] (Indianapolis [Ind.]), November 25, 1893, Image 8","November 25, 1893"
"71","The gazette.","Cleveland, Ohio","September 09"," 1893","The gazette. [volume] (Cleveland, Ohio), September 09, 1893, Image 1","September 09, 1893"
"72","The freeman.","Indianapolis [Ind.]","August 05"," 1893","The freeman. [volume] (Indianapolis [Ind.]), August 05, 1893, Image 4","August 05, 1893"
"73","Huntsville gazette.","Huntsville, Ala.","July 29"," 1893","Huntsville gazette. [volume] (Huntsville, Ala.), July 29, 1893, Image 2","July 29, 1893"
"74","The Providence news.","Providence [R.I.]","February 18"," 1893","The Providence news. (Providence [R.I.]), February 18, 1893, Image 7","February 18, 1893"
"75","The freeman.","Indianapolis [Ind.]","July 08"," 1893","The freeman. [volume] (Indianapolis [Ind.]), July 08, 1893, Image 6","July 08, 1893"
"76","The Salt Lake herald.","Salt Lake City [Utah]","June 06"," 1893","The Salt Lake herald. [volume] (Salt Lake City [Utah]), June 06, 1893, Page 4, Image 4","June 06, 1893"
"77","The plaindealer.","Detroit, Mich.","April 28"," 1893","The plaindealer. [volume] (Detroit, Mich.), April 28, 1893, Image 4","April 28, 1893"
"78","The freeman.","Indianapolis [Ind.]","February 11"," 1893","The freeman. [volume] (Indianapolis [Ind.]), February 11, 1893, Image 5","February 11, 1893"
"79","The freeman.","Indianapolis [Ind.]","June 03"," 1893","The freeman. [volume] (Indianapolis [Ind.]), June 03, 1893, Image 7","June 03, 1893"
"80","The freeman.","Indianapolis [Ind.]","March 18"," 1893","The freeman. [volume] (Indianapolis [Ind.]), March 18, 1893, Image 5","March 18, 1893"
"81","The gazette.","Cleveland, Ohio","March 25"," 1893","The gazette. [volume] (Cleveland, Ohio), March 25, 1893, Page 3, Image 3","March 25, 1893"
"82","Afro-American advocate.","Coffeyville, Kan.","May 26"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 26, 1893, Image 12","May 26, 1893"
"83","Afro-American advocate.","Coffeyville, Kan.","June 30"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), June 30, 1893, Image 4","June 30, 1893"
"84","Afro-American advocate.","Coffeyville, Kan.","July 21"," 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), July 21, 1893, Image 4","July 21, 1893"
"85","The freeman.","Indianapolis [Ind.]","July 22"," 1893","The freeman. [volume] (Indianapolis [Ind.]), July 22, 1893, Image 1","July 22, 1893"
"86","The freeman.","Indianapolis [Ind.]","August 12"," 1893","The freeman. [volume] (Indianapolis [Ind.]), August 12, 1893, Image 1","August 12, 1893"
"87","The gazette.","Cleveland, Ohio","July 22"," 1893","The gazette. [volume] (Cleveland, Ohio), July 22, 1893, Page 2, Image 2","July 22, 1893"
"88","The gazette.","Cleveland, Ohio","March 18"," 1893","The gazette. [volume] (Cleveland, Ohio), March 18, 1893, Image 1","March 18, 1893"
"89","The morning news.","Savannah, Ga.","June 05"," 1893","The morning news. [volume] (Savannah, Ga.), June 05, 1893, Page 4, Image 4","June 05, 1893"
"90","The gazette.","Cleveland, Ohio","July 15"," 1893","The gazette. [volume] (Cleveland, Ohio), July 15, 1893, Page 2, Image 2","July 15, 1893"
"91","Evening star.","Washington, D.C.","February 01"," 1893","Evening star. [volume] (Washington, D.C.), February 01, 1893, Page 10, Image 10","February 01, 1893"
"92","The gazette.","Cleveland, Ohio","July 08"," 1893","The gazette. [volume] (Cleveland, Ohio), July 08, 1893, Image 1","July 08, 1893"
"93","The gazette.","Cleveland, Ohio","June 24"," 1893","The gazette. [volume] (Cleveland, Ohio), June 24, 1893, Page 2, Image 2","June 24, 1893"
"94","The plaindealer.","Detroit, Mich.","March 17"," 1893","The plaindealer. [volume] (Detroit, Mich.), March 17, 1893, Image 4","March 17, 1893"
"95","The freeman.","Indianapolis [Ind.]","June 17"," 1893","The freeman. [volume] (Indianapolis [Ind.]), June 17, 1893, Image 4","June 17, 1893"
"96","The freeman.","Indianapolis [Ind.]","October 21"," 1893","The freeman. [volume] (Indianapolis [Ind.]), October 21, 1893, Image 4","October 21, 1893"
"97","The Washington bee.","Washington, D.C.","July 15"," 1893","The Washington bee. [volume] (Washington, D.C.), July 15, 1893, Image 1","July 15, 1893"
"98","The freeman.","Indianapolis [Ind.]","April 01"," 1893","The freeman. [volume] (Indianapolis [Ind.]), April 01, 1893, Image 4","April 01, 1893"
"99","The gazette.","Cleveland, Ohio","March 11"," 1893","The gazette. [volume] (Cleveland, Ohio), March 11, 1893, Page 2, Image 2","March 11, 1893"
"100","The gazette.","Cleveland, Ohio","April 29"," 1893","The gazette. [volume] (Cleveland, Ohio), April 29, 1893, Page 3, Image 3","April 29, 1893"
"101","The gazette.","Cleveland, Ohio","February 11"," 1893","The gazette. [volume] (Cleveland, Ohio), February 11, 1893, Page 2, Image 2","February 11, 1893"
"102","The gazette.","Cleveland, Ohio","April 01"," 1893","The gazette. [volume] (Cleveland, Ohio), April 01, 1893, Page 2, Image 2","April 01, 1893"
"103","The gazette.","Cleveland, Ohio","July 08"," 1893","The gazette. [volume] (Cleveland, Ohio), July 08, 1893, Page 2, Image 2","July 08, 1893"
"104","The gazette.","Cleveland, Ohio","October 21"," 1893","The gazette. [volume] (Cleveland, Ohio), October 21, 1893, Page 2, Image 2","October 21, 1893"
"105","The Wilmington daily Republican.","Wilmington, Del.","December 06"," 1893","The Wilmington daily Republican. (Wilmington, Del.), December 06, 1893, Image 2","December 06, 1893"
"106","The gazette.","Cleveland, Ohio","February 11"," 1893","The gazette. [volume] (Cleveland, Ohio), February 11, 1893, Image 1","February 11, 1893"
"107","The freeman.","Indianapolis [Ind.]","September 08"," 1894","The freeman. [volume] (Indianapolis [Ind.]), September 08, 1894, Image 1","September 08, 1894"
"108","The daily herald.","Brownsville, Tex.","September 03"," 1894","The daily herald. [volume] (Brownsville, Tex.), September 03, 1894, Image 2","September 03, 1894"
"109","The freeman.","Indianapolis [Ind.]","July 07"," 1894","The freeman. [volume] (Indianapolis [Ind.]), July 07, 1894, Image 6","July 07, 1894"
"110","The freeman.","Indianapolis [Ind.]","August 25"," 1894","The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 4","August 25, 1894"
"111","The freeman.","Indianapolis [Ind.]","September 08"," 1894","The freeman. [volume] (Indianapolis [Ind.]), September 08, 1894, Image 4","September 08, 1894"
"112","The freeman.","Indianapolis [Ind.]","October 27"," 1894","The freeman. [volume] (Indianapolis [Ind.]), October 27, 1894, Image 2","October 27, 1894"
"113","The freeman.","Indianapolis [Ind.]","August 04"," 1894","The freeman. [volume] (Indianapolis [Ind.]), August 04, 1894, Image 4","August 04, 1894"
"114","The freeman.","Indianapolis [Ind.]","June 30"," 1894","The freeman. [volume] (Indianapolis [Ind.]), June 30, 1894, Image 4","June 30, 1894"
"115","The freeman.","Indianapolis [Ind.]","May 12"," 1894","The freeman. [volume] (Indianapolis [Ind.]), May 12, 1894, Image 2","May 12, 1894"
"116","National Baptist world.","Wichita, Kan.","October 12"," 1894","National Baptist world. [volume] (Wichita, Kan.), October 12, 1894, Image 1","October 12, 1894"
"117","The freeman.","Indianapolis [Ind.]","July 28"," 1894","The freeman. [volume] (Indianapolis [Ind.]), July 28, 1894, Image 4","July 28, 1894"
"118","The gazette.","Cleveland, Ohio","July 14"," 1894","The gazette. [volume] (Cleveland, Ohio), July 14, 1894, Image 1","July 14, 1894"
"119","The gazette.","Cleveland, Ohio","August 11"," 1894","The gazette. [volume] (Cleveland, Ohio), August 11, 1894, Page 2, Image 2","August 11, 1894"
"120","The gazette.","Cleveland, Ohio","June 30"," 1894","The gazette. [volume] (Cleveland, Ohio), June 30, 1894, Image 1","June 30, 1894"
"121","The colored American.","Washington, D.C.","August 11"," 1894","The colored American. [volume] (Washington, D.C.), August 11, 1894, Page 4, Image 4","August 11, 1894"
"122","The Durham daily globe.","Durham, N.C.","August 29"," 1894","The Durham daily globe. (Durham, N.C.), August 29, 1894, Image 2","August 29, 1894"
"123","The freeman.","Indianapolis [Ind.]","July 14"," 1894","The freeman. [volume] (Indianapolis [Ind.]), July 14, 1894, Image 6","July 14, 1894"
"124","The Hawaiian gazette.","Honolulu [Oahu, Hawaii]","August 21"," 1894","The Hawaiian gazette. [volume] (Honolulu [Oahu, Hawaii]), August 21, 1894, Page 6, Image 6","August 21, 1894"
