Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"New England Bulletin (Hartford, Conn.) 1949-19??",sn92051343,26273342,2643-5004,Connecticut,Hartford,Hartford,"41.765775, -72.673356",https://www.loc.gov/item/sn92051343/?st=calendar,16,3/26/49,7/9/49,TRUE,English,African American
"New Era (Washington, D.C.) 1870-1870",sn84024437,10931292,2471-6316,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84024437/?st=calendar,34,1870-01-13,1870-09-01,TRUE,English,African American
"New National Era (Washington, D.C.) 1870-1874",sn84026753,10641996,2471-6340,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84026753/?st=calendar,422,1870-09-08,1874-10-22,TRUE,English,African American
New Orleans Daily Creole (New Orleans [La.]) 1856-18??,sn84025908,10652777,2997-6820,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn84025908/?st=calendar,156,1856-07-01,1857-01-10,TRUE,English,African American
New Orleans Tribune (New Orleans [La.]) 1864-187?,sn83016710,9998448,2997-6936,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016710/?st=calendar,678,1864-07-21,1869-02-28,TRUE,"English, French",African American
The New York Age (New York [N.Y.]) 1887-1953,sn83030005,9274417,2998-1379,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn83030005/?st=calendar,231,1887-10-15,1/4/00,TRUE,English,African American
The New York Freeman (New York [N.Y.]) 1884-1887,sn83027102,10126322,2996-6388,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn83027102/?st=calendar,146,1884-12-13,1887-10-08,TRUE,English,African American
"The New York Globe (New York, N.Y.) 1880-1884",sn83027106,10154100,2998-1484,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn83027106/?st=calendar,90,1883-01-06,1884-11-08,TRUE,English,African American
"The Nicodemus Cyclone (Nicodemus, Graham County, Kan.) 1887-1888",sn84030038,11364750,2994-8800,Kansas,Graham,Nicodemus,"39.3940036, -99.6157905",https://www.loc.gov/item/sn84030038/?st=calendar,30,1887-12-30,1888-09-07,TRUE,English,African American
"The Nicodemus Enterprise (Nicodemus, Kan.) 1887-1887",sn84030037,11364657,2994-8827,Kansas,Graham,Nicodemus,"39.3940036, -99.6157905",https://www.loc.gov/item/sn84030037/?st=calendar,13,1887-08-17,1887-12-23,TRUE,English,African American
"North Carolina Gazette (Raleigh, N.C.) 1885-18??",sn92073076,25959539,2475-0638,North Carolina,Wake,Raleigh,"35.7813033, -78.6416795",https://www.loc.gov/item/sn92073076/?st=calendar,1,1885-09-26,1885-09-26,TRUE,English,African American
"North Carolina Republican (Raleigh, N.C.) 1879-1880",sn85038643,12862727,2474-4492,North Carolina,Wake,Raleigh,"35.7813033, -78.6416795",https://www.loc.gov/item/sn85038643/?st=calendar,4,1880-03-19,1880-11-12,,English,African American
"The North Star (Rochester, N.Y.) 1847-1851",sn84026365,10426469,,New York,Monroe,Rochester,"43.155708, -77.612547",https://www.loc.gov/item/sn84026365/?st=calendar,137,1847-12-03,1851-04-17,,English,African American
"The Northern Star and Freemen's Advocate (Albany, N.Y.) 1842-18??",sn83027104,10126298,2996-640x,New York,Albany,Albany,"42.651725, -73.755093",https://www.loc.gov/item/sn83027104/?st=calendar,11,1842-02-03,1843-01-02,TRUE,English,African American
"The Northwest Enterprise (Seattle, Wash.) 1931-1952",sn87093377,17273999,2831-6029,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093377/?st=calendar,1037,1/1/31,4/4/52,TRUE,English,African American
"The Northwestern Bulletin (St. Paul, Minn. ; Minneapolis, Minn.) 1922-1924",sn90060931,1764889,2694-5576,Minnesota,"Ramsey, Hennepin","Saint Paul, Minneapolis","44.9774859, -93.2643669",https://www.loc.gov/item/sn90060931/?st=calendar,96,3/11/22,1/5/24,TRUE,English,African American
"The Northwestern Bulletin-Appeal (St. Paul, Minn. ; Minneapolis, Minn.) 1924-1925",sn90060932,1716490,2694-5622,Minnesota,"Ramsey, Hennepin","Saint Paul, Minneapolis","44.9774859, -93.2643669",https://www.loc.gov/item/sn90060932/?st=calendar,74,1/12/24,8/15/25,TRUE,English,African American
"The Northwestern Recorder (Milwaukee, Wis.) 1892-1893",sn84025845,10435741,2643-3788,Wisconsin,Milwaukee,Milwaukee,"43.041072, -87.909421",https://www.loc.gov/item/sn84025845/?st=calendar,4,1892-12-03,1893-03-01,TRUE,English,African American
"Oakland Sunshine (Oakland, Calif.) 189?-19??",sn84025837,10384635,2995-6498,California,Alameda,Oakland,"37.804828, -122.27248",https://www.loc.gov/item/sn84025837/?st=calendar,27,3/20/15,2/25/22,TRUE,English,African American
"The Observer (Baton Rouge, La.) 1899-1900",sn83016560,9907976,2835-0707,Louisiana,East Baton Rouge,Baton Rouge,"30.443319, -91.187488",https://www.loc.gov/item/sn83016560/?st=calendar,1,1/13/00,1/13/00,TRUE,English,African American
"Odd Fellows' Journal (Philadelphia, Pa.) 1897-19??",sn83027089,9891050,2835-8953,Pennsylvania,Philadelphia,Philadelphia,"39.9510605, -75.1656204",https://www.loc.gov/item/sn83027089/?st=calendar,1,1/11/00,1/11/00,TRUE,English,African American
"The Ohio Daily-Express (Dayton, Ohio) 1946-1950",sn88077226,17538519,2766-7529,Ohio,Montgomery,Dayton,"39.760982, -84.192203",https://www.loc.gov/item/sn88077226/?st=calendar,664,11/1/47,11/15/50,TRUE,English,African American
"The Ohio Falls Express (Louisville, Ky.) 1878-19??",sn84025830,10372187,2996-055x,Kentucky,Jefferson,Louisville,"38.256078, -85.751569",https://www.loc.gov/item/sn84025830/?st=calendar,1,1891-07-11,1891-07-11,TRUE,English,African American
"Ohio Standard and Observer (Xenia, Ohio ; Wilberforce, Ohio) 1897-19??",sn84025822,10347100,2836-9033,Ohio,Greene,"Xenia, Wilberforce","39.717167, -83.882919",https://www.loc.gov/item/sn84025822/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Oil City Afro-American (Corsicana, Tex.) 1898-19??",sn83026367,9843592,2835-8643,Texas,Navarro,Corsicana,"32.08492, -96.464976",https://www.loc.gov/item/sn83026367/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The Omaha Guide (Omaha, Neb.) 1927-19??",sn93062828,27322162,2768-587x,Nebraska,Douglas,Omaha,"41.258652, -95.937195",https://www.loc.gov/item/sn93062828/?st=calendar,863,7/16/32,3/15/58,TRUE,English,African American
"Omaha Monitor (Omaha, Nebraska) 1928-????",2019270506,"1088506199, n1088506199",2996-4180,Nebraska,Douglas,Omaha,"41.258652, -95.937195",https://www.loc.gov/item/2019270506/?st=calendar,6,12/7/28,1/11/29,TRUE,English,African American
"The Pacific Appeal (San Francisco, Cal.) 1862-188?",sn83027099,2265603,2835-9682,California,San Francisco,San Francisco,"37.7800771, -122.4201615",https://www.loc.gov/item/sn83027099/?st=calendar,1,1875-04-24,1875-04-24,TRUE,English,African American
"The Palladium (St. Louis, Mo.) 18??-1903",sn84020234,10494666,2994-0370,Missouri,,Saint Louis,"38.635355, -90.2009855",https://www.loc.gov/item/sn84020234/?st=calendar,21,1/10/03,5/30/03,,English,African American
"The Parsons Weekly Blade (Parsons, Labette County, Kan.) 1892-19??",sn84025818,10337751,2836-886x,Kansas,Labette,Parsons,"37.340499, -95.259188",https://www.loc.gov/item/sn84025818/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"Paul Quinn Weekly (Waco, Texas) 1???-19??",sn83025787,9839507,2835-8589,Texas,McLennan,Waco,"31.5568251, -97.1300219",https://www.loc.gov/item/sn83025787/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The People's Advocate (Alexandria, Va.; Washington, D.C) 1876-188?",sn84025894,10587978,,Virginia,,"Alexandria, Washington","38.8920621, -77.0199124",https://www.loc.gov/item/sn84025894/?st=calendar,226,1876-04-22,1884-04-12,TRUE,English,African American
"The People's Advocate (Alexandria, Va.; Washington, D.C) 1876-188?",sn84025894,10587978,,District of Columbia,,"Alexandria, Washington","38.8920621, -77.0199124",https://www.loc.gov/item/sn84025894/?st=calendar,226,1876-04-22,1884-04-12,TRUE,English,African American
"The People's Friend (Wichita, Kan.) 1894-1896",sn84025836,10380169,2837-0457,Kansas,"Sedgwick, Shawnee","Wichita, Topeka","39.050976, -95.670433",https://www.loc.gov/item/sn84025836/?st=calendar,19,1894-05-24,1896-12-11,TRUE,English,African American
"The People's Recorder (Columbia, S.C.) 1893-1925",sn83025797,9804805,2166-1731,South Carolina,"Richland, Union, Orangeburg","Columbia, Union, Orangeburg","33.487414, -80.863927",https://www.loc.gov/item/sn83025797/?st=calendar,6,1898-03-19,9/11/09,TRUE,English,African American
"The Peoples' Advocate (New-Berne [New Bern], N.C.) 1886-188?",sn84025895,10587961,2766-6786,North Carolina,Craven,New Bern,"35.1083707, -77.0460315",https://www.loc.gov/item/sn84025895/?st=calendar,1,1886-07-31,1886-07-31,,English,African American
"The Phoenix Index (Phoenix, Ariz.) 193?-19??",sn96060866,35591812,2692-7705,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn96060866/?st=calendar,120,8/12/39,8/29/42,TRUE,English,African American
"Phoenix Tribune (Phoenix, Ariz.) 1918-193?",sn96060881,35642959,2692-773x,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn96060881/?st=calendar,284,8/3/18,3/1/31,TRUE,English,African American
"Pine Bluff Weekly Herald (Pine Bluff, Ark.) 1900-19??",sn84020671,4054417,2833-1958,Arkansas,Jefferson,Pine Bluff,"34.221586, -92.002005",https://www.loc.gov/item/sn84020671/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Pioneer Press (Martinsburg, W. Va.) 1882-19??",sn83025146,9285482,2640-3714,West Virginia,Berkeley,Martinsburg,"39.456216, -77.963914",https://www.loc.gov/item/sn83025146/?st=calendar,330,1884-09-01,9/22/17,TRUE,English,African American
"The Plaindealer (Topeka, Kan.) 1899-1900",sn84025820,10337694,2836-8932,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn84025820/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"The Plaindealer (Detroit, Mich.) 1883-1895",sn83016683,9975654,2997-7703,Michigan,"Wayne, Hamilton","Detroit, Cincinnati","39.12711, -84.51439",https://www.loc.gov/item/sn83016683/?st=calendar,191,1889-09-20,1893-05-19,TRUE,English,African American
"The Plaindealer (Detroit, Mich.) 1883-1895",sn83016683,9975654,2997-7703,Ohio,"Wayne, Hamilton","Detroit, Cincinnati","39.12711, -84.51439",https://www.loc.gov/item/sn83016683/?st=calendar,191,1889-09-20,1893-05-19,TRUE,English,African American
"The Professional World (Columbia, Mo.) 1901-192?",sn89066321,19566406,2326-8530,Missouri,"Boone, Cole","Columbia, Jefferson City","38.576911, -92.174868",https://www.loc.gov/item/sn89066321/?st=calendar,103,11/1/01,12/25/03,TRUE,English,African American
"The Progress (Omaha, Neb.) 1889-19??",sn83025331,9396461,2835-4524,Nebraska,Douglas,Omaha,"41.258652, -95.937195",https://www.loc.gov/item/sn83025331/?st=calendar,5,1890-03-22,1/26/00,TRUE,English,African American
"The Race Standard (Baltimore, Md.) 18??-1???",sn83016481,9864898,2996-0614,Maryland,,Baltimore,"39.290443, -76.612333",https://www.loc.gov/item/sn83016481/?st=calendar,2,1897-01-02,1897-01-16,TRUE,English,African American
The Ram's Horn (New York [N.Y.]) 1847-1848,sn84025829,10372036,2837-0368,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn84025829/?st=calendar,1,1847-11-05,1847-11-05,TRUE,English,African American
"The Recorder (Indianapolis, Ind.) 1897-1910",sn84025902,10645111,2997-5875,Indiana,Marion,Indianapolis,"39.76845, -86.156212",https://www.loc.gov/item/sn84025902/?st=calendar,104,1899-01-07,12/29/00,TRUE,English,African American
"The Reformer (Richmond, Va.) 1895-19??",sn84025814,10328985,2836-6743,Virginia,Henrico,Richmond,"37.540759, -77.433932",https://www.loc.gov/item/sn84025814/?st=calendar,2,1/27/00,1/28/05,TRUE,English,African American
"The Reminder (Stamps, Arkansas) 1913-????",2023218545,"1375105998, n1375105998",2997-5409,Arkansas,Lafayette,Stamps,"33.35952, -93.493854",https://www.loc.gov/item/2023218545/?st=calendar,1,5/10/13,5/10/13,TRUE,English,African American
"The Reporter (Helena, Ark.) 1891-1907",sn83025486,9526584,2833-1761,Arkansas,Phillips,Helena,"34.529166, -90.591242",https://www.loc.gov/item/sn83025486/?st=calendar,1,2/1/00,2/1/00,TRUE,English,African American
"The Republican (Seattle, Wash.) 1894-1???",sn87093448,17291866,2158-4702,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093448/?st=calendar,2,1896-08-22,1898-06-17,TRUE,English,African American
"The Republican Courier (New Orleans, La.) 1899-1900",sn83016564,9908251,2835-0812,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016564/?st=calendar,3,1899-12-02,1/27/00,TRUE,English,African American
"The Republican (Maryville, Tenn.) 187?-187?",sn85042543,12634479,2331-3021,Tennessee,Blount,Maryville,"35.750607, -83.973082",https://www.loc.gov/item/sn85042543/?st=calendar,10,1873-01-04,1875-03-06,TRUE,English,African American
"Richmond Planet (Richmond, Va.) 1883-1938",sn84025841,10412790,2151-4011,Virginia,,Richmond,"37.540759, -77.433932",https://www.loc.gov/item/sn84025841/?st=calendar,1523,1885-02-21,12/27/30,TRUE,English,African American
The Rights of All (New-York [N.Y.]) 1829-18??,sn83027094,10000851,2835-9593,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn83027094/?st=calendar,5,1829-05-29,1829-10-09,TRUE,English,African American
"The Rising Son (Kansas City, Mo.) 1896-19??",sn83025494,9529310,2165-929x,Missouri,Jackson,Kansas City,"39.099792, -94.578559",https://www.loc.gov/item/sn83025494/?st=calendar,195,1/27/00,12/28/07,TRUE,English,African American
"The Robbins Eagle (Robbins, Ill.) 1951-1963",sn2008060212,"190785720, n190785720",2694-1260,Illinois,Cook County,Robbins,"41.644236, -87.70265",https://www.loc.gov/item/sn2008060212/?st=calendar,161,3/3/51,6/15/63,TRUE,English,African American
"The Rock Hill Messenger (Rock Hill, S.C.) 1896-1921",sn83025796,9804719,2166-1723,South Carolina,York,Rock Hill,"34.941355, -81.0300374",https://www.loc.gov/item/sn83025796/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"The Saint Paul Sun (St. Paul, Minn.) 1941-1976",sn84025909,1714837,,Minnesota,Ramsey,Saint Paul,"44.943719, -93.094281",https://www.loc.gov/item/sn84025909/?st=calendar,636,10/11/51,12/26/63,TRUE,English,African American
"San Francisco Vindicator (San Francisco, Cal.) 1884-1???",sn84025838,10384695,2994-6077,California,San Francisco,San Francisco,"37.7800771, -122.4201615",https://www.loc.gov/item/sn84025838/?st=calendar,9,1887-05-02,1889-02-16,TRUE,English,African American
"The Savannah Tribune (Savannah [Ga.]; Savannah, Ga.) 1876-1960",sn84020323,8107226,2768-6604,Georgia,Chatham,Savannah,"32.0806102, -81.0900966",https://www.loc.gov/item/sn84020323/?st=calendar,110,1886-10-23,11/15/13,TRUE,English,African American
"Savannah Weekly Echo (Savannah, Ga.) 1879-1884",sn83016195,9618146,2833-6801,Georgia,Chatham,Savannah,"32.0806102, -81.0900966",https://www.loc.gov/item/sn83016195/?st=calendar,5,1883-08-26,1884-02-10,TRUE,English,African American
"The Seattle Enterprise (Seattle, Wash.) 1920-192?",sn87093376,17273985,2831-5979,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093376/?st=calendar,1,5/14/21,5/14/21,TRUE,English,African American
"The Seattle Republican (Seattle, Wash.) 1???-1915",sn84025811,10328970,2157-3271,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn84025811/?st=calendar,690,1/19/00,5/2/13,TRUE,English,African American
"The Sedalia Times (Sedalia, Mo.) 1894-1905",sn84020293,10561127,2997-8483,Missouri,Pettis,Sedalia,"38.704529, -93.236542",https://www.loc.gov/item/sn84020293/?st=calendar,92,8/31/01,2/4/05,TRUE,English,African American
"Sedalia Weekly Conservator (Sedalia, Mo.) 1903-1909",sn89067598,20842253,2166-8264,Missouri,Pettis,Sedalia,"38.704529, -93.236542",https://www.loc.gov/item/sn89067598/?st=calendar,238,5/8/03,9/21/08,TRUE,English,African American
"Semi-Weekly Louisianian (New Orleans, La.) 1871-1872",sn83016631,9957091,2326-6309,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016631/?st=calendar,80,1871-05-11,1872-02-25,TRUE,English,African American
"The Sentinel (Trenton, N.J.) 1880-1882",sn84026314,10388917,2996-5519,New Jersey,Mercer,Trenton,"40.2205724, -74.7597087",https://www.loc.gov/item/sn84026314/?st=calendar,118,1880-06-26,1882-11-13,TRUE,English,African American
"South Carolina Leader (Charleston, S.C.) 1865-18??",sn83025783,9798897,2166-1693,South Carolina,Charleston,Charleston,"32.77647, -79.931027",https://www.loc.gov/item/sn83025783/?st=calendar,27,1865-10-07,1867-03-23,TRUE,English,African American
"The Southern Advocate (Mound Bayou, Miss.) 1933-19??",sn87082832,15738677,2766-080x,Mississippi,Bolivar,Mound Bayou,"33.8784413, -90.7275769",https://www.loc.gov/item/sn87082832/?st=calendar,56,4/27/40,9/13/41,TRUE,English,African American
"The Southern Argus (Baxter Springs, Cherokee County, Kan.) 1891-1???",sn84029136,10502949,2994-8940,Kansas,"Bourbon, Cherokee","Fort Scott, Baxter Springs","37.023659, -94.735388",https://www.loc.gov/item/sn84029136/?st=calendar,33,1891-06-18,1892-02-04,TRUE,English,African American
"The Southern Indicator (Columbia, S.C.) 1903-1925",sn83025803,9810255,2166-1758,South Carolina,Richland,Columbia,"34.009286, -81.037094",https://www.loc.gov/item/sn83025803/?st=calendar,27,2/15/13,2/3/23,TRUE,English,African American
"The Southern News (Richmond, Va.) 1892-1???",sn83027098,10101960,2835-9666,Virginia,,Richmond,"37.540759, -77.433932",https://www.loc.gov/item/sn83027098/?st=calendar,1,1892-10-15,1892-10-15,TRUE,English,African American
"The Southern News (Asheville, N.C.) 1936-19??",sn98058951,41242346,2766-6840,North Carolina,"Buncombe, Mecklenburg, Greenville","Asheville, Charlotte, Greenville","34.850746, -82.398964",https://www.loc.gov/item/sn98058951/?st=calendar,24,6/11/38,4/7/62,,English,African American
"The Southern News (Asheville, N.C.) 1936-19??",sn98058951,41242346,2766-6840,South Carolina,"Buncombe, Mecklenburg, Greenville","Asheville, Charlotte, Greenville","34.850746, -82.398964",https://www.loc.gov/item/sn98058951/?st=calendar,24,6/11/38,4/7/62,,English,African American
"Southern Republican (New Orleans, La.) 1898-1907",sn83016561,9908065,2835-0723,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016561/?st=calendar,3,1899-09-02,4/14/00,TRUE,English,African American
"The Southland Advocate (Asheville, N.C.) 19??-????",sn98058953,38214859,2766-7049,North Carolina,Buncombe,Asheville,"35.5959111, -82.5500442",https://www.loc.gov/item/sn98058953/?st=calendar,1,4/15/50,4/15/50,,English,African American
"St. Croix Avis (Christiansted, St. Croix [V.I.]) 1844-Current",sn84037526,10476288,2831-4212,Virgin Islands,"Saint Croix, Saint Thomas","Christiansted, Charlotte Amalie","18.3419, -64.9307",https://www.loc.gov/item/sn84037526/?st=calendar,16308,1865-01-03,12/31/63,TRUE,"English, Danish","African American, Caribbean"
"St. Croix Tribune (Christiansted, St. Croix, V.I.) 1922-1937",sn84037536,10486779,2996-9174,Virgin Islands,Saint Croix,Christiansted,"17.746333, -64.7037",https://www.loc.gov/item/sn84037536/?st=calendar,769,1/2/34,12/18/36,TRUE,English,"African American, Caribbean"
"St. Louis Palladium (St. Louis, Mo.) 1903-19??",sn84020235,10494741,2994-0400,Missouri,,Saint Louis,"38.635355, -90.2009855",https://www.loc.gov/item/sn84020235/?st=calendar,205,6/6/03,10/5/07,TRUE,English,African American
"The St. Paul Echo (St. Paul ; Minneapolis, Minn.) 1925-1927",sn90059272,1645574,2694-5754,Minnesota,"Ramsey, Hennepin","St. Paul, Minneapolis","44.9774859, -93.2643669",https://www.loc.gov/item/sn90059272/?st=calendar,86,11/7/25,6/25/27,TRUE,English,African American
"St. Paul Recorder (St. Paul, Minn.) 1934-2000",sn83016804,1715473,2835-0936,Minnesota,Ramsey,Saint Paul,"44.943719, -93.094281",https://www.loc.gov/item/sn83016804/?st=calendar,1502,8/10/34,12/26/63,TRUE,English,African American
"The State Capital (Springfield, Ill.) 1886-19??",sn84025827,10359771,2837-0333,Illinois,Sangamon County,Springfield,"39.79936, -89.643624",https://www.loc.gov/item/sn84025827/?st=calendar,50,1891-03-28,1899-01-13,TRUE,English,African American
"The State Journal (Harrisburg, Pa.) 1883-1885",sn83027086,9868965,2996-6515,Pennsylvania,Dauphin,Harrisburg,"40.2595933, -76.8818729",https://www.loc.gov/item/sn83027086/?st=calendar,54,1883-12-15,1885-01-24,TRUE,English,African American
"The State Ledger (Topeka, Kan.) 1894-1906",sn85067106,12800834,,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85067106/?st=calendar,327,1895-10-18,6/16/06,TRUE,English,African American
"The Statesman (Denver, Colo.) 1889-1906",sn83025516,9542060,2577-2317,Colorado,Denver,Denver,"39.738453, -104.984853",https://www.loc.gov/item/sn83025516/?st=calendar,64,1/27/00,6/1/06,TRUE,English,African American
"Sunday Chicago Bee (Chicago, Ill.) 1925-19??",sn82015409,8807768,2769-4682,Illinois,Cook County,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn82015409/?st=calendar,12,5/1/38,10/20/46,TRUE,English,African American
"The Tennessean (Nashville, Tenn.) 1866-1867",sn83025746,9773080,2835-7523,Tennessee,Davidson,Nashville,"36.1663493, -86.7790541",https://www.loc.gov/item/sn83025746/?st=calendar,1,1866-07-18,1866-07-18,TRUE,English,African American
"The Tennessee Star (Nashville, Tenn.) 1886-18??",sn83025747,9773331,2996-6590,Tennessee,Davidson,Nashville,"36.1663493, -86.7790541",https://www.loc.gov/item/sn83025747/?st=calendar,1,1887-11-25,1887-11-25,TRUE,English,African American
"The Times-Observer (Topeka, Kan.) 1891-1892",sn85067184,12833065,,Missouri,"Jackson, Buchanan, Shawnee","Kansas City, Saint Joseph, Topeka","39.050976, -95.670433",https://www.loc.gov/item/sn85067184/?st=calendar,45,1891-09-04,1892-09-10,TRUE,English,African American
"The Times-Observer (Topeka, Kan.) 1891-1892",sn85067184,12833065,,Kansas,"Jackson, Buchanan, Shawnee","Kansas City, Saint Joseph, Topeka","39.050976, -95.670433",https://www.loc.gov/item/sn85067184/?st=calendar,45,1891-09-04,1892-09-10,TRUE,English,African American
"The Topeka Call (Topeka, Kan.) 1891-1893",sn85032049,12833159,,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85032049/?st=calendar,7,1893-01-01,1893-03-26,,English,African American
"The Topeka Tribune (Topeka, Kan.) 1880-1881",sn85067188,12847684,,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85067188/?st=calendar,23,1880-06-24,1880-12-25,TRUE,English,African American
"The Torchlight Appeal (Fort Worth, Tex.) 1886-18??",sn83025816,9839428,2996-8267,Texas,Tarrant,Fort Worth,"32.749904, -97.330339",https://www.loc.gov/item/sn83025816/?st=calendar,3,1890-01-17,1890-02-22,TRUE,English,African American
"The Tribune (Roanoke, Va.) 1951-19??",sn98068351,39072118,2767-5580,Virginia,,Roanoke,"37.271133, -79.939056",https://www.loc.gov/item/sn98068351/?st=calendar,268,8/11/51,9/21/57,TRUE,English,African American
"The Tribune Independent of Michigan (Detroit, Mich.) 1933-1935",sn96076588,5998213,2577-2562,Michigan,Wayne,Detroit,"42.3329407, -83.0478365",https://www.loc.gov/item/sn96076588/?st=calendar,79,12/30/33,9/7/35,TRUE,English,African American
"The True Reformer (Littleton, N.C.) 1899-19??",sn83025849,9841956,2835-8724,North Carolina,Halifax,Littleton,"36.434851, -77.9112847",https://www.loc.gov/item/sn83025849/?st=calendar,1,7/25/00,7/25/00,TRUE,English,African American
"The Tulsa Star (Tulsa, Okla.) 1913-1921",sn86064118,13621345,2163-4866,Oklahoma,Tulsa,Tulsa,"36.155327, -95.992083",https://www.loc.gov/item/sn86064118/?st=calendar,234,4/11/13,1/29/21,TRUE,English,African American
"Twin City Observer (Minneapolis, Minn.) 1943-1976",sn83016844,1716569,,Minnesota,"Hennepin, Ramsey","Minneapolis, Saint Paul","44.943719, -93.094281",https://www.loc.gov/item/sn83016844/?st=calendar,1003,5/14/43,12/26/63,TRUE,English,African American
"Twin City Press (Little Rock, Ark.) 193?-1940",sn92050007,25133924,2995-617x,Arkansas,"Pulaski, Jefferson","Little Rock, Pine Bluff","34.221586, -92.002005",https://www.loc.gov/item/sn92050007/?st=calendar,1,6/22/40,6/22/40,TRUE,English,African American
"The Twin City Star (Minneapolis, Minn.) 1910-19??",sn90060427,1767887,2694-5827,Minnesota,Hennepin,Minneapolis,"44.9774859, -93.2643669",https://www.loc.gov/item/sn90060427/?st=calendar,399,6/2/10,1/25/19,TRUE,English,African American
The Twin-City American (Minneapolis [Minn.] ; St. Paul [Minn.]) 1899-1899,sn86058062,13353065,2996-3206,Minnesota,"Hennepin, Ramsey","Minneapolis, Saint Paul","44.943719, -93.094281",https://www.loc.gov/item/sn86058062/?st=calendar,3,1899-05-04,1899-05-18,TRUE,English,African American
"The Virginia Star (Richmond, Va.) 1877-18??",sn83027093,9973874,2835-897x,Virginia,,Richmond,"37.540759, -77.433932",https://www.loc.gov/item/sn83027093/?st=calendar,13,1877-09-08,1882-12-23,TRUE,English,African American
"The Voice (Lincoln, Nebraska) 1946-195?",2019270505,"1088505830, n1088505830",2768-5853,Nebraska,Lancaster,Lincoln,"40.813599, -96.70261",https://www.loc.gov/item/2019270505/?st=calendar,344,10/11/46,5/14/53,TRUE,English,African American
"Voice of Missions (Atlanta, Ga.) 1893-1900",sn83016234,9637716,2833-6844,Georgia,Fulton,Atlanta,"33.748547, -84.391502",https://www.loc.gov/item/sn83016234/?st=calendar,1,2/1/00,2/1/00,TRUE,English,African American
"Voice of the People (Laurel, Miss.) 19??-19??",sn89065000,19295684,2766-0974,Mississippi,Jones,Laurel,"31.6912094, -89.1298648",https://www.loc.gov/item/sn89065000/?st=calendar,8,6/14/26,10/25/26,TRUE,English,African American
"The Washington Bee (Washington, D.C.) 1884-1922",sn84025891,10587828,1940-7424,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84025891/?st=calendar,996,1886-05-29,3/30/12,TRUE,English,African American
Washington Grit (Washington City [D.C.]) 1884-1884,sn84025893,10587840,,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84025893/?st=calendar,36,1883-12-21,1884-10-18,TRUE,English,African American
"The Washington Tribune (Washington, D.C.) 1921-1946",sn87062236,16046622,2997-5654,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn87062236/?st=calendar,699,5/14/21,12/31/35,TRUE,English,African American
The Weekly Anglo-African (New York [N.Y.]) 1859-1861,sn83030179,9370610,2996-6426,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn83030179/?st=calendar,52,1859-07-23,1860-07-14,TRUE,English,African American
