Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"The Home Journal (Charlotte Amalie, St. Thomas, V.I.) 1951-1973",sn84037503,10443618,2996-9158,Virgin Islands,Saint Thomas,Charlotte Amalie,"18.3419, -64.9307",https://www.loc.gov/item/sn84037503/?st=calendar,784,2/4/52,12/31/58,TRUE,English,"African American, Caribbean"
"Hot Springs Echo (Hot Springs, Ark.) 1???-19??",sn89051273,19988117,2997-5360,Arkansas,Garland,Hot Springs,"34.502785, -93.055659",https://www.loc.gov/item/sn89051273/?st=calendar,12,8/12/05,2/1/36,TRUE,English,African American
"Huntsville Gazette (Huntsville, Ala.) 1879-1894",sn84020151,2710177,2575-1271,Alabama,Madison,Huntsville,"34.7295402, -86.5853044",https://www.loc.gov/item/sn84020151/?st=calendar,706,1881-06-18,1894-12-29,TRUE,English,African American
"The Huntsville Star (Huntsville, Ala.) 1900-19??",sn83025483,9525997,2835-6403,Alabama,Madison,Huntsville,"34.7295402, -86.5853044",https://www.loc.gov/item/sn83025483/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"The Illinois Record (Springfield, Ill.) 1897-1???",sn84024172,10601352,,Illinois,Sangamon County,Springfield,"39.79936, -89.643624",https://www.loc.gov/item/sn84024172/?st=calendar,77,1897-11-06,1899-04-22,TRUE,English,African American
"The Illinois Times (Champaign, Ill.) 19??-19??",sn88061252,18609544,2694-1155,Illinois,Champaign County,Champaign,"40.116328, -88.243522",https://www.loc.gov/item/sn88061252/?st=calendar,132,10/14/49,9/20/63,TRUE,English,African American
"The Independent (Houston, Tex.) 1898-19??",sn83025786,9839546,2835-8554,Texas,Harris,Houston,"29.7608026, -95.3695062",https://www.loc.gov/item/sn83025786/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The Indianapolis Leader (Indianapolis, Ind.) 1879-1890",sn84027490,11257023,2332-2527,Indiana,Marion,Indianapolis,"39.76845, -86.156212",https://www.loc.gov/item/sn84027490/?st=calendar,117,1879-08-30,1882-06-24,TRUE,English,African American
"The Indianapolis World (Indianapolis, Ind.; Indianapolis, Indiana) 188?-19??",sn82016212,9202154,2833-8561,Indiana,Marion,Indianapolis,"39.76845, -86.156212",https://www.loc.gov/item/sn82016212/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Iowa Baptist Standard (Des Moines, Iowa) 1897-1???",sn83025198,9305522,2832-9686,Iowa,Polk,Des Moines,"41.588822, -93.620309",https://www.loc.gov/item/sn83025198/?st=calendar,1,1897-05-21,1897-05-21,TRUE,English,African American
