"","year","...2","file_id","date","newspaper_city","newspaper_state","url","sn","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","state","newspaper","oclc","issn","no_issues","earliest_issue","latest_issue","abbreviation","region","border","newspaper_name","newspaper_state_clean"
"1",1835,8278,15950,1835-09-29,"Richmond","Va","https://articleextractor.org/pages//15950/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/0?user_id=6","sn84024735",9,29,"ed-1","Richmond,  Va",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Virginia","Richmond enquirer. [volume] (Richmond, Va.) 1815-1867",1764332,"2473-4845",5231,1815-09-20,1867-01-08,"VA","South","Not_Border","Richmond enquirer","VA"
"2",1835,7168,8052,1835-09-08,"Richmond","Va","https://articleextractor.org/pages//8052/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=6","sn84024735",9,8,"ed-1","Richmond,  Va",0,2022-09-13 16:51:26,5,0,0,0,0,"null","Virginia","Richmond enquirer. [volume] (Richmond, Va.) 1815-1867",1764332,"2473-4845",5231,1815-09-20,1867-01-08,"VA","South","Not_Border","Richmond enquirer","VA"
"3",1836,8309,15987,1836-07-14,"Brandon",NA,"https://articleextractor.org/pages//15987/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=6","sn83025661",7,14,"ed-1","Brandon , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Vermont","Vermont telegraph. [volume] (Brandon [Vt.]) 1828-1843",9729963,"2376-8932",397,1836-01-07,1843-10-04,"VT","Northeast","Not_Border","Vermont telegraph","VT"
"4",1836,7161,7522,1836-02-26,NA,NA,"https://articleextractor.org/pages//7522/ohi_carrie_ver01/sn88078471/1836/02/26/ed-1/seq-1/0?user_id=6","sn88078471",2,26,"ed-1","NA, NA",0,2022-10-08 16:55:56,1,0,0,0,0,"null","Ohio","Der Vaterlandsfreund. (Canton, Stark County, Ohio) 1833-1836",17899910,"2641-2683",99,1834-04-18,1836-05-06,"OH","Midwest","Not_Border",NA,"OH"
"5",1837,8293,15967,1837-02-21,NA,NA,"https://articleextractor.org/pages//15967/msar_lightningbolt_ver03/sn87065592/1837/02/21/ed-1/seq-4/0?user_id=6","sn87065592",2,21,"ed-1","NA, NA",0,2023-03-21 15:29:05,0,1,0,0,0,"null","Mississippi","Southern telegraph. (Rodney, Miss.) 1834-1838",15184390,"2470-1718",107,1836-01-01,1838-12-15,"MS","South","Not_Border","Southern telegraph.","MS"
"6",1837,8738,16530,1837-05-20,"Richmond","Wayne","https://articleextractor.org/pages//16530/in_indianapolisolympians_ver02/sn82016416/1837/05/20/ed-1/seq-1/0?user_id=6","sn82016416",5,20,"ed-1","Richmond,  Wayne",0,2023-03-21 15:28:34,0,1,0,0,0,"null","Indiana","Richmond palladium. [volume] (Richmond, Wayne County, Ind.) 1831-1837",9317030,"2572-6986",141,1831-01-08,1837-06-14,"IN","Midwest","Not_Border","Richmond palladium","VA"
"7",1838,8236,15903,1838-08-29,"Brandon",NA,"https://articleextractor.org/pages//15903/vtu_kirby_ver02/sn83025661/1838/08/29/ed-1/seq-4/0?user_id=6","sn83025661",8,29,"ed-1","Brandon , NA",0,2023-03-21 15:56:35,0,1,0,0,0,"null","Vermont","Vermont telegraph. [volume] (Brandon [Vt.]) 1828-1843",9729963,"2376-8932",397,1836-01-07,1843-10-04,"VT","Northeast","Not_Border","Vermont telegraph","VT"
"8",1838,8741,16534,1838-05-23,"New York",NA,"https://articleextractor.org/pages//16534/dlc_laceflower_ver01/sn83030312/1838/05/23/ed-1/seq-2/0?user_id=6","sn83030312",5,23,"ed-1","New York , NA",0,2023-03-21 15:58:53,0,1,0,0,0,"null","New York","Morning herald. [volume] (New York [N.Y.]) 1837-1840",9467104,"2474-3194",922,1837-05-22,1842-02-08,"NY","Northeast","Not_Border","Morning herald","NY"
"9",1839,4852,5058,1839-04-02,"Rutland","Vt","https://articleextractor.org/pages//5058/vtu_adamant_ver01/sn84022355/1839/04/02/ed-1/seq-3/0?user_id=6","sn84022355",4,2,"ed-1","Rutland,  Vt",0,2023-08-20 01:47:02,0,1,0,0,1,"Mohamed Salama","Vermont","Rutland herald. [volume] (Rutland, Vt.) 1823-1847",10366844,"2166-1952",582,1836-01-05,1847-12-29,"VT","Northeast","Not_Border","Rutland herald","VT"
"10",1839,8250,15918,1839-07-18,NA,NA,"https://articleextractor.org/pages//15918/msar_ikat_ver01/sn87065377/1839/07/18/ed-1/seq-3/0?user_id=6","sn87065377",7,18,"ed-1","NA, NA",0,2023-03-21 17:29:42,1,1,0,0,0,"null","Mississippi","Macon intelligencer. (Macon, Miss.) 1838-1840",15649135,"2576-4071",103,1838-05-16,1840-11-07,"MS","South","Not_Border",NA,"MS"
"11",1839,4804,5008,1839-05-28,"Columbus","Miss","https://articleextractor.org/pages//5008/msar_cloudchaser_ver01/sn83016884/1839/05/28/ed-1/seq-2/0?user_id=6","sn83016884",5,28,"ed-1","Columbus,  Miss",0,2023-08-19 23:48:33,0,1,0,0,1,"Mohamed Salama","Mississippi","Southern Argus. [volume] (Columbus, Miss.) 1834-1842",10199371,"2378-3222",231,1836-12-17,2042-06-18,"MS","South","Not_Border","Southern Argus","MS"
"12",1840,8247,15915,1840-03-27,"Brattleboro","Vt","https://articleextractor.org/pages//15915/vtu_danby_ver01/sn98060050/1840/03/27/ed-1/seq-2/0?user_id=6","sn98060050",3,27,"ed-1","Brattleboro,  Vt",0,2023-03-22 18:48:14,0,1,0,0,0,"null","Vermont","Vermont phœnix. [volume] (Brattleboro, Vt.) 1834-1955",9735466,"2166-9821",3217,1836-01-22,1922-12-22,"VT","Northeast","Not_Border","Vermont phœnix","VT"
"13",1841,8372,16057,1841-02-12,"Richmond","Va","https://articleextractor.org/pages//16057/vi_appaloosa_ver01/sn85026768/1841/02/12/ed-1/seq-2/0?user_id=6","sn85026768",2,12,"ed-1","Richmond,  Va",0,2023-03-22 19:03:13,0,1,0,0,0,"null","Virginia","Daily Richmond Whig. [volume] (Richmond, Va.) 1840-1842",12541173,NA,575,1841-01-01,1842-11-25,"VA","South","Not_Border","Daily Richmond Whig","VA"
"14",1841,8379,16064,1841-07-31,"Wheeling","Va. [","https://articleextractor.org/pages//16064/wvu_dawson_ver01/sn84038585/1841/07/31/ed-1/seq-2/0?user_id=6","sn84038585",7,31,"ed-1","Wheeling,  Va. [",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","West Virginia","Wheeling times and advertiser. [volume] (Wheeling, Va. [W. Va.]) 1839-1849",11348952,"2768-4377",1955,1840-01-02,1848-12-28,"WV","South","Border","Wheeling times and advertiser","WV"
"15",1841,58060,16052,1841-07-16,"Alexandria","D.C","https://articleextractor.org/pages//16052/vi_aquasox_ver01/sn85025007/1841/07/16/ed-1/seq-2/0?user_id=6","sn85025007",7,16,"ed-1","Alexandria,  D.C",0,2023-03-29 17:06:36,0,1,0,0,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"16",1841,8371,16056,1841-05-21,"Richmond","Va","https://articleextractor.org/pages//16056/vi_appaloosa_ver01/sn85026768/1841/05/21/ed-1/seq-1/0?user_id=6","sn85026768",5,21,"ed-1","Richmond,  Va",0,2023-03-22 20:05:57,0,1,0,0,0,"null","Virginia","Daily Richmond Whig. [volume] (Richmond, Va.) 1840-1842",12541173,NA,575,1841-01-01,1842-11-25,"VA","South","Not_Border","Daily Richmond Whig","VA"
"17",1842,8401,16087,1842-11-11,NA,NA,"https://articleextractor.org/pages//16087/msar_goldenharvest_ver01/sn87090028/1842/11/11/ed-1/seq-2/0?user_id=6","sn87090028",11,11,"ed-1","NA, NA",0,2023-03-24 19:23:40,0,1,0,0,0,"null","Mississippi","Holly Springs gazette. (Holly Springs, Misp. [i.e. Miss.]) 1841-18??",15272076,"2469-5076",201,1841-07-28,1853-02-10,"MS","South","Not_Border",NA,"MS"
"18",1842,8400,16086,1842-06-22,"Raleigh","N.C","https://articleextractor.org/pages//16086/ncu_alligator_ver01/sn85042147/1842/06/22/ed-1/seq-1/0?user_id=6","sn85042147",6,22,"ed-1","Raleigh,  N.C",0,2023-03-24 19:17:02,0,1,0,0,0,"null","North Carolina","The North-Carolina standard. [volume] (Raleigh, N.C.) 1834-1850",11844590,"2373-2326",773,1836-01-07,1850-10-23,"NC","South","Not_Border","The North-Carolina standard","NC"
"19",1843,6324,6332,1843-08-02,"Edgefield","S.C","https://articleextractor.org/pages//6332/scu_cootiestark_ver01/sn84026897/1843/08/02/ed-1/seq-1/0?user_id=6","sn84026897",8,2,"ed-1","Edgefield,  S.C",0,2022-11-26 01:01:59,1,1,0,0,0,"null","South Carolina","Edgefield advertiser. [volume] (Edgefield, S.C.) 1836-current",10722626,"2166-5613",3193,1836-02-18,1922-12-20,"SC","South","Not_Border","Edgefield advertiser","SC"
"20",1844,8325,16004,1844-08-24,"Washington","D.C","https://articleextractor.org/pages//16004/dlc_firedrake_ver01/sn82016317/1844/08/24/ed-1/seq-2/0?user_id=6","sn82016317",8,24,"ed-1","Washington,  D.C",0,2023-06-01 23:42:35,0,0,1,1,0,"null","District of Columbia","The Whig standard. [volume] (Washington, D.C.) 1843-1844",9286896,"2471-7703",307,1843-11-06,1844-11-16,"DC","South","Not_Border","The Whig standard","DC"
"21",1844,8328,16007,1844-07-20,"Fayette","Mo","https://articleextractor.org/pages//16007/mohi_henri_ver01/sn83016957/1844/07/20/ed-1/seq-2/0?user_id=6","sn83016957",7,20,"ed-1","Fayette,  Mo",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Missouri","Boon&#39;s Lick times. [volume] (Fayette, Mo.) 1840-1848",10236437,"2326-7933",442,1840-03-28,1848-09-30,"MO","Midwest","Border","Boon's Lick times","MO"
"22",1845,8320,15999,1845-02-27,"Indianapolis)",NA,"https://articleextractor.org/pages//15999/in_hoosier_ver01/sn82015677/1845/02/27/ed-1/seq-3/0?user_id=6","sn82015677",2,27,"ed-1","Indianapolis), NA",0,2023-05-08 14:14:48,0,1,0,0,0,"null","Indiana","Indiana State sentinel. [volume] (Indianapolis) 1841-1853",8811173,"2332-094X",552,1841-07-21,1852-12-30,"IN","Midwest","Not_Border","Indiana State sentinel","IN"
"23",1845,8351,16032,1845-02-21,"Montpelier","Vt","https://articleextractor.org/pages//16032/vtu_foxville_ver01/sn84023200/1845/02/21/ed-1/seq-4/0?user_id=6","sn84023200",2,21,"ed-1","Montpelier,  Vt",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Vermont","Vermont watchman and State journal. [volume] (Montpelier, Vt.) 1836-1883",10841887,"1052-7419",2324,1836-12-06,1883-06-06,"VT","Northeast","Not_Border","Vermont watchman and State journal","VT"
"24",1845,8352,16033,1845-02-21,"Montpelier","Vt","https://articleextractor.org/pages//16033/vtu_foxville_ver01/sn84023200/1845/02/21/ed-1/seq-3/0?user_id=6","sn84023200",2,21,"ed-1","Montpelier,  Vt",0,2023-05-08 14:13:40,0,1,0,0,0,"null","Vermont","Vermont watchman and State journal. [volume] (Montpelier, Vt.) 1836-1883",10841887,"1052-7419",2324,1836-12-06,1883-06-06,"VT","Northeast","Not_Border","Vermont watchman and State journal","VT"
"25",1846,8091,15745,1846-07-10,"New-Lisbon","Ohi","https://articleextractor.org/pages//15745/ohi_ariel_ver02/sn83035487/1846/07/10/ed-1/seq-2/0?user_id=6","sn83035487",7,10,"ed-1","New-Lisbon,  Ohi",0,2023-06-01 23:51:12,0,1,0,0,0,"null","Ohio","Anti-slavery bugle. [volume] (New-Lisbon, Ohio) 1845-1861",1321288,"2166-1863",809,1845-06-20,1861-05-04,"OH","Midwest","Not_Border","Anti-slavery bugle","OH"
"26",1846,8096,15751,1846-03-20,"New York",NA,"https://articleextractor.org/pages//15751/dlc_fairymoss_ver01/sn83030313/1846/03/20/ed-1/seq-5/0?user_id=6","sn83030313",3,20,"ed-1","New York , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"27",1846,8090,15744,1846-05-14,"New York",NA,"https://articleextractor.org/pages//15744/dlc_fairymoss_ver01/sn83030313/1846/05/14/ed-1/seq-7/0?user_id=6","sn83030313",5,14,"ed-1","New York , NA",0,2023-06-01 23:45:13,0,0,0,1,0,"null","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"28",1847,57910,5195,1847-06-02,"Alexandria","D.C","https://articleextractor.org/pages//5195/vi_emeralds_ver02/sn85025007/1847/06/02/ed-1/seq-2/0?user_id=6","sn85025007",6,2,"ed-1","Alexandria,  D.C",0,2023-04-03 06:30:14,0,1,0,0,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"29",1848,8121,15780,1848-11-03,"New-Lisbon","Ohi","https://articleextractor.org/pages//15780/ohi_ariel_ver02/sn83035487/1848/11/03/ed-1/seq-3/0?user_id=6","sn83035487",11,3,"ed-1","New-Lisbon,  Ohi",0,2023-06-02 01:33:34,0,1,0,0,0,"null","Ohio","Anti-slavery bugle. [volume] (New-Lisbon, Ohio) 1845-1861",1321288,"2166-1863",809,1845-06-20,1861-05-04,"OH","Midwest","Not_Border","Anti-slavery bugle","OH"
"30",1848,58033,15770,1848-09-14,"Alexandria","D.C","https://articleextractor.org/pages//15770/vi_crawdads_ver01/sn85025007/1848/09/14/ed-1/seq-2/0?user_id=6","sn85025007",9,14,"ed-1","Alexandria,  D.C",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"31",1849,8042,15691,1849-08-22,"Plaquemine","Par","https://articleextractor.org/pages//15691/lu_blastoise_ver01/sn88064476/1849/08/22/ed-1/seq-2/0?user_id=6","sn88064476",8,22,"ed-1","Plaquemine,  Par",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Louisiana","Southern sentinel. [volume] (Plaquemine, Parish of Iberville [La.]) 1848-1858",18114523,"2377-9268",477,1848-08-10,1858-02-17,"LA","South","Not_Border","Southern sentinel","LA"
"32",1849,8047,15696,1849-10-20,NA,NA,"https://articleextractor.org/pages//15696/ohi_ingstad_ver01/sn90068958/1849/10/20/ed-1/seq-1/0?user_id=6","sn90068958",10,20,"ed-1","NA, NA",0,2023-06-18 18:09:01,0,1,0,0,0,"null","Ohio","The freeman. (Fremont [Ohio]) 1849-1850",22228465,"2376-144X",33,1849-10-20,1850-06-01,"OH","Midwest","Not_Border",NA,"OH"
"33",1849,8034,15683,1849-08-11,"Richmond","Va","https://articleextractor.org/pages//15683/vi_icelandic_ver01/sn86071855/1849/08/11/ed-1/seq-3/0?user_id=6","sn86071855",8,11,"ed-1","Richmond,  Va",0,2023-06-18 17:56:28,0,1,0,0,0,"null","Virginia","Daily Richmond times. [volume] (Richmond, Va.) 1849-1850",14120856,NA,245,1849-07-13,1850-12-03,"VA","South","Not_Border","Daily Richmond times","VA"
"34",1849,5061,5280,1849-03-01,"Burlington","Iow","https://articleextractor.org/pages//5280/iahi_abra_ver01/sn82014327/1849/03/01/ed-1/seq-2/0?user_id=6","sn82014327",3,1,"ed-1","Burlington,  Iow",0,2023-01-23 21:02:58,1,0,0,0,0,"null","Iowa","Burlington hawk-eye. [volume] (Burlington, Iowa) 1845-185?",8776081,"2577-1140",239,1845-05-29,1851-12-25,"IA","Midwest","Not_Border","Burlington hawk-eye","IA"
"35",1849,8035,15684,1849-02-22,"Lynchburg",NA,"https://articleextractor.org/pages//15684/vi_dartmoor_ver03/sn84024649/1849/02/22/ed-1/seq-1/0?user_id=6","sn84024649",2,22,"ed-1","Lynchburg , NA",NA,2023-03-11 01:39:21,2,0,0,0,0,"null","Virginia","Lynchburg Virginian. [volume] (Lynchburg [Va.]) 1829-185?",10967658,NA,2115,1829-01-29,1852-08-09,"VA","South","Not_Border","Lynchburg Virginian","VA"
"36",1850,8198,15862,1850-11-07,"Washington",NA,"https://articleextractor.org/pages//15862/dlc_elf_ver03/sn84026752/1850/11/07/ed-1/seq-2/0?user_id=6","sn84026752",11,7,"ed-1","Washington , NA",0,2023-06-18 18:58:00,0,1,0,0,0,"null","District of Columbia","The national era. [volume] (Washington [D.C.]) 1847-1860",10642039,"2471-5301",531,1850-01-03,1860-03-15,"DC","South","Not_Border","The national era","DC"
"37",1850,58026,15712,1850-07-01,"Alexandria","D.C","https://articleextractor.org/pages//15712/vi_crawdads_ver01/sn85025007/1850/07/01/ed-1/seq-1/0?user_id=6","sn85025007",7,1,"ed-1","Alexandria,  D.C",0,2023-06-18 18:42:44,0,0,0,1,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"38",1850,58029,15716,1850-06-26,"Alexandria","D.C","https://articleextractor.org/pages//15716/vi_crawdads_ver01/sn85025007/1850/06/26/ed-1/seq-1/0?user_id=6","sn85025007",6,26,"ed-1","Alexandria,  D.C",0,2023-06-18 18:42:58,0,0,0,1,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"39",1850,8190,15853,1850-10-16,"Raleigh","N.C","https://articleextractor.org/pages//15853/ncu_alligator_ver01/sn85042147/1850/10/16/ed-1/seq-3/0?user_id=6","sn85042147",10,16,"ed-1","Raleigh,  N.C",0,2023-06-18 18:57:45,0,1,0,0,0,"null","North Carolina","The North-Carolina standard. [volume] (Raleigh, N.C.) 1834-1850",11844590,"2373-2326",773,1836-01-07,1850-10-23,"NC","South","Not_Border","The North-Carolina standard","NC"
"40",1850,8061,15711,1850-01-01,"New York",NA,"https://articleextractor.org/pages//15711/dlc_kudzu_ver01/sn83030313/1850/01/01/ed-1/seq-1/0?user_id=6","sn83030313",1,1,"ed-1","New York , NA",0,2023-06-18 18:22:10,0,1,0,0,0,"null","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"41",1851,8206,15871,1851-01-18,"New-Lisbon","Ohi","https://articleextractor.org/pages//15871/ohi_desdemona_ver01/sn83035487/1851/01/18/ed-1/seq-4/0?user_id=6","sn83035487",1,18,"ed-1","New-Lisbon,  Ohi",0,2023-06-18 19:16:58,0,1,0,0,0,"null","Ohio","Anti-slavery bugle. [volume] (New-Lisbon, Ohio) 1845-1861",1321288,"2166-1863",809,1845-06-20,1861-05-04,"OH","Midwest","Not_Border","Anti-slavery bugle","OH"
"42",1851,8199,15863,1851-03-12,"Woodsfield","Ohi","https://articleextractor.org/pages//15863/ohi_byrd_ver01/sn85038115/1851/03/12/ed-1/seq-1/0?user_id=6","sn85038115",3,12,"ed-1","Woodsfield,  Ohi",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Ohio","The spirit of democracy. [volume] (Woodsfield, Ohio) 1844-1994",11751867,"2373-2180",2107,1844-03-08,1886-12-28,"OH","Midwest","Not_Border","The spirit of democracy","OH"
"43",1851,4801,5003,1851-02-21,"New York",NA,"https://articleextractor.org/pages//5003/dlc_laceflower_ver01/sn83030313/1851/02/21/ed-1/seq-7/0?user_id=6","sn83030313",2,21,"ed-1","New York , NA",0,2023-08-19 23:40:57,0,0,1,1,1,"Mohamed Salama","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"44",1851,6011,5980,1851-06-05,NA,"L","https://articleextractor.org/pages//5980/lu_diglett_ver01/sn82015378/1851/06/05/ed-1/seq-2/0?user_id=6","sn82015378",6,5,"ed-1",",  L",0,2022-10-18 15:41:48,1,0,0,0,0,"null","Louisiana","The daily crescent. [volume] ([New Orleans, La.]) 1848-1851",8807215,"2377-7249",1175,1848-03-05,1851-12-20,"LA","South","Not_Border","The daily crescent","LA"
"45",1851,8158,15819,1851-08-18,"Richmond",NA,"https://articleextractor.org/pages//15819/vi_icelandic_ver01/sn84024692/1851/08/18/ed-1/seq-2/0?user_id=6","sn84024692",8,18,"ed-1","Richmond , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Virginia","Richmond daily times. [volume] (Richmond [Va.]) 1850-1853",11072718,NA,607,1850-12-06,1853-06-20,"VA","South","Not_Border","Richmond daily times","VA"
"46",1851,8786,16708,1851-08-20,"Raleigh","N.C","https://articleextractor.org/pages//16708/ncu_alligator_ver01/sn84045030/1851/08/20/ed-1/seq-3/0?user_id=6","sn84045030",8,20,"ed-1","Raleigh,  N.C",NA,2023-03-11 01:39:21,2,0,0,0,0,"null","North Carolina","Weekly North Carolina standard. [volume] (Raleigh, N.C.) 1850-1858",11367942,"2373-1117",414,1850-10-30,1858-11-10,"NC","South","Not_Border","Weekly North Carolina standard","NC"
"47",1851,8787,16710,1851-08-20,"Raleigh","N.C","https://articleextractor.org/pages//16710/ncu_broad_ver01/sn84024517/1851/08/20/ed-1/seq-3/0?user_id=6","sn84024517",8,20,"ed-1","Raleigh,  N.C",NA,2023-03-11 01:39:21,2,0,0,0,0,"null","North Carolina","North Carolina standard. [volume] (Raleigh, N.C.) 1850-1852",10897203,"2372-5486",121,1850-11-02,1852-01-03,"NC","South","Not_Border","North Carolina standard","NC"
"48",1851,8731,16503,1851-04-10,"New York",NA,"https://articleextractor.org/pages//16503/dlc_laceflower_ver01/sn83030313/1851/04/10/ed-1/seq-4/0?user_id=6","sn83030313",4,10,"ed-1","New York , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"49",1851,8135,15795,1851-06-03,NA,NA,"https://articleextractor.org/pages//15795/mimtptc_beulah_ver01/sn89080032/1851/06/03/ed-1/seq-2/0?user_id=6","sn89080032",6,3,"ed-1","NA, NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Michigan","Hillsdale Whig standard. (Hillsdale, Mich.) 1846-1851",22375782,"2471-9226",256,1846-06-30,1851-08-26,"MI","Midwest","Not_Border",NA,"MI"
"50",1851,8136,15796,1851-05-20,"Richmond",NA,"https://articleextractor.org/pages//15796/vi_icelandic_ver01/sn84024692/1851/05/20/ed-1/seq-2/0?user_id=6","sn84024692",5,20,"ed-1","Richmond , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Virginia","Richmond daily times. [volume] (Richmond [Va.]) 1850-1853",11072718,NA,607,1850-12-06,1853-06-20,"VA","South","Not_Border","Richmond daily times","VA"
"51",1851,8137,15797,1851-05-21,"Washington City",NA,"https://articleextractor.org/pages//15797/dlc_elf_ver03/sn82014763/1851/05/21/ed-1/seq-1/0?user_id=6","sn82014763",5,21,"ed-1","Washington City, NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","District of Columbia","The southern press. [volume] (Washington City [i.e. Washington, D.C.]) 1850-1852",8792115,"2471-6464",111,1850-06-25,1852-08-14,"DC","South","Not_Border","The southern press","DC"
"52",1851,8178,15839,1851-06-18,"Richmond",NA,"https://articleextractor.org/pages//15839/vi_icelandic_ver01/sn84024692/1851/06/18/ed-1/seq-3/0?user_id=6","sn84024692",6,18,"ed-1","Richmond , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Virginia","Richmond daily times. [volume] (Richmond [Va.]) 1850-1853",11072718,NA,607,1850-12-06,1853-06-20,"VA","South","Not_Border","Richmond daily times","VA"
"53",1851,58037,15840,1851-04-30,"Alexandria","D.C","https://articleextractor.org/pages//15840/vi_crawdads_ver01/sn85025007/1851/04/30/ed-1/seq-3/0?user_id=6","sn85025007",4,30,"ed-1","Alexandria,  D.C",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"54",1851,8215,15881,1851-04-03,"Washington",NA,"https://articleextractor.org/pages//15881/dlc_elf_ver03/sn84026752/1851/04/03/ed-1/seq-3/0?user_id=6","sn84026752",4,3,"ed-1","Washington , NA",0,2023-06-25 16:26:38,0,1,0,0,0,"null","District of Columbia","The national era. [volume] (Washington [D.C.]) 1847-1860",10642039,"2471-5301",531,1850-01-03,1860-03-15,"DC","South","Not_Border","The national era","DC"
"55",1852,58076,16367,1852-07-07,"Alexandria","D.C","https://articleextractor.org/pages//16367/vi_emeralds_ver02/sn85025007/1852/07/07/ed-1/seq-2/0?user_id=6","sn85025007",7,7,"ed-1","Alexandria,  D.C",NA,2023-03-11 01:39:21,0,0,0,0,0,"null","District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"56",1852,8662,16362,1852-02-03,"Richmond",NA,"https://articleextractor.org/pages//16362/vi_icelandic_ver01/sn84024692/1852/02/03/ed-1/seq-3/0?user_id=6","sn84024692",2,3,"ed-1","Richmond , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Virginia","Richmond daily times. [volume] (Richmond [Va.]) 1850-1853",11072718,NA,607,1850-12-06,1853-06-20,"VA","South","Not_Border","Richmond daily times","VA"
"57",1852,4815,5019,1852-05-19,"Richmond",NA,"https://articleextractor.org/pages//5019/vi_icelandic_ver01/sn84024692/1852/05/19/ed-1/seq-3/0?user_id=6","sn84024692",5,19,"ed-1","Richmond , NA",0,2023-01-23 21:02:58,1,0,0,0,0,"null","Virginia","Richmond daily times. [volume] (Richmond [Va.]) 1850-1853",11072718,NA,607,1850-12-06,1853-06-20,"VA","South","Not_Border","Richmond daily times","VA"
"58",1852,8643,16342,1852-06-26,"Richmond",NA,"https://articleextractor.org/pages//16342/vi_icelandic_ver01/sn84024692/1852/06/26/ed-1/seq-3/0?user_id=6","sn84024692",6,26,"ed-1","Richmond , NA",NA,2023-03-11 01:39:21,0,0,0,0,0,"null","Virginia","Richmond daily times. [volume] (Richmond [Va.]) 1850-1853",11072718,NA,607,1850-12-06,1853-06-20,"VA","South","Not_Border","Richmond daily times","VA"
"59",1852,8637,16334,1852-03-17,"New York",NA,"https://articleextractor.org/pages//16334/dlc_laceflower_ver01/sn83030313/1852/03/17/ed-1/seq-2/0?user_id=6","sn83030313",3,17,"ed-1","New York , NA",0,2023-06-18 20:35:04,0,0,0,1,0,"null","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
